             Object File DRAM .data .rtc.data DRAM .bss .ext_ram.bss IRAM0 .text & 0.vectors ram_st_total Flash .text & .rodata & .rodata_noload & .appdesc flash_total
        esp_wpa_main.c.o          0         0         0            0           0           0            0         887         0                0          0         887
            timeouts.c.o          0         0         0           12           0           0           12         573       296                0          0         869
spi_flash_chip_winbond.c        140         0         0            0         727           0          867           0         0                0          0         867
   esp_netif_objects.c.o          4         0        12            0           0           0           16         614       221                0          0         839
      crypto_mbedtls.c.o          0         0         0            0           0           0            0         836         0                0          0         836
    bootloader_flash.c.o          0         0         0            0         679           0          679           0       151                0          0         830
 memory_layout_utils.c.o          0         0         0            0           0           0            0         547       283                0          0         830
                 sha.c.o         16         0        13            0           0           0           29         558       255                0          0         829
       debug_helpers.c.o          0         0         0            0         750           0          750           0        73                0          0         823
             hal_ampdu.o          0         0         0            0           0           0            0         679       138                0          0         817
         esp_ipc_isr.c.o         12         0        32            0         441           0          485         179       175                0          0         807
          multi_heap.c.o        158         0         0            0         644           0          802           0         0                0          0         802
           hmac_drbg.c.o          0         0         0            0           0           0            0         791         0                0          0         791
          wifi_netif.c.o          0         0        16            0           0           0           16         483       306                0          0         789
                ccmp.c.o          0         0         0            0           0           0            0         785         0                0          0         785
               icmp6.c.o          0         0         0            0           0           0            0         583       192                0          0         775
      ieee80211_action.o        192         0         0            0           0           0          192         557        26                0          0         775
    ets_timer_legacy.c.o          0         0         0            0         261           0          261         143       368                0          0         772
  esp_netif_handlers.c.o          0         0         0            0           0           0            0         466       298                0          0         764
         lib_a-fvwrite.o          0         0         0            0         751           0          751           0         0                0          0         751
   ieee80211_regdomain.o         24         0         0            0           0           0           24         703         3                0          0         730
nvs_partition_manager.cp          0         0         4            0           0           0            4         712        16                0          0         728
            esp_wpa3.c.o          8         0        88            0           0           0           96         720         0                0          0         728
          event_send.c.o          0         0         0            0           0           0            0         574       151                0          0         725
         vfs_console.c.o          0         0        12            0           0           0           12         512       188                0          0         700
       uart_hal_iram.c.o          0         0         0            0           0           0            0         317       376                0          0         693
       panic_handler.c.o          8         0         8            0          66           0           82         607         8                0          0         689
             esp_ipc.c.o          0         0        56            0         199           0          255         389        98                0          0         686
             entropy.c.o          0         0         0            0           0           0            0         657         0                0          0         657
                time.c.o          0         0        20            0         139           0          159         517         0                0          0         656
         highint_hdl.S.o         56         0         0            0         596           0          652           0         0                0          0         652
          rate_control.o          0         0         0            0           0           0            0         290       344                0          0         634
pthread_local_storage.c.          8         0         4            0           0           0           12         518       106                0          0         632
            esp_wpa2.c.o          4         0        28            0           0           0           32         615        11                0          0         630
          lib_a-findfp.o          0         0         0            0         625           0          625           0         0                0          0         625
 nvs_handle_simple.cpp.o          0         0         0            0           0           0            0         505        60                0          0         565
          lib_a-fflush.o          0         0         0            0         564           0          564           0         0                0          0         564
       crosscore_int.c.o          8         0         8            0         255           0          271         138       159                0          0         560
         compare_set.c.o          8         0         0            0           0           0            8         357       194                0          0         559
  esp_flash_spi_init.c.o         72         0         4            0           0           0           76         226       261                0          0         559
         inet_chksum.c.o          0         0         0            0           0           0            0         542         0                0          0         542
       ieee80211_proto.o          0         0         0            1           0           0            1         481         0               55          0         536
  memspi_host_driver.c.o        131         0         0            0         405           0          536           0         0                0          0         536
           aes-omac1.c.o          0         0         0            0           0           0            0         536         0                0          0         536
spi_flash_os_func_app.c.         52         0         0            0         340           0          392          47        96                0          0         535
              wlanif.c.o          0         0         0            0           0           0            0         455        70                0          0         525
interrupt_descriptor_tab          0         0         0            0           0           0            0          12       512                0          0         524
        esp_app_desc.c.o          1         0         8            0         228           0          237          27         4                0        256         516
          adc_common.c.o          0         0         8            0           0           0            8         352       164                0          0         516
            ip4_frag.c.o          0         0         0            0           0           0            0         425        91                0          0         516
            ethernet.c.o          0         0         0            0           0           0            0         385       126                0          0         511
crypto_mbedtls-bignum.c.          0         0         0            0           0           0            0         504         0                0          0         504
            ip6_frag.c.o          0         0         0            4           0           0            4         417        83                0          0         500
          esp_hostap.c.o          0         0         0            0           0           0            0         499         0                0          0         499
        reset_reason.c.o          0         0         4            0         116           0          120         258       123                0          0         497
            vfs_lwip.c.o          0         0         0            0           0           0            0         353       140                0          0         493
spi_flash_encrypt_hal_ir        263         0         0            0         228           0          491           0         0                0          0         491
             esp_aes.c.o          8         0         0            0           0           0            8         483         0                0          0         491
            uart_hal.c.o          0         0         0            0           0           0            0         478         0                0          0         478
nvs_item_hash_list.cpp.o          0         0         0            0           0           0            0         473         0                0          0         473
     system_internal.c.o          0         0         0            0         443           0          443           0        16                0          0         459
              pp_timer.o         88         0         0            4           0           0           92         345        26                0          0         459
           dh_groups.c.o          0         0         0            0           0           0            0          42       417                0          0         459
      cache_sram_mmu.c.o          0         0         0            0         458           0          458           0         0                0          0         458
                memp.c.o          0         0         0            0           0           0            0         200       255                0          0         455
    si_class_type_info.o          0         0         0            0           0           0            0         322       132                0          0         454
       spi_flash_hal.c.o          0         0         0            0           0           0            0         391        56                0          0         447
           hal_sniffer.o          0         0         0            0           0           0            0         413         0                0          0         413
      ieee80211_reg_db.o        230         0         0            0           0           0          230         128        49                0          0         407
             sha_hal.c.o          0         0         0            0           0           0            0         401         0                0          0         401
 ieee80211_crypto_sms4.o         24         0         0            0           0           0           24         312        58                0          0         394
       class_type_info.o          0         0         0            0           0           0            0         283       108                0          0         391
          spi_common.c.o          3         0        12            0           0           0           15         210       177                0          0         390
          lib_a-locale.o          4         0         0            0           0           0            4           0       374                0          0         378
